date,log_return_1d,high_low_range,close_open_return,volume_change,rsi_14,macd_pct,macd_signal_pct,bb_position,bb_width,sma_ratio_20,ema_ratio_50,atr_pct,adx_14,stoch_k,obv_change,return_lag_5,return_lag_10,return_lag_20,volatility_20,momentum_10,direction,next_return,close
2017-10-05,0.009611525935933162,0.040398900987076505,0.01658620689655166,-0.15006589772996703,50.345023313972284,-0.00043253346938329,-0.007657787764767842,0.6278826025519082,0.23078748310569047,0.029513703975960315,-0.010064237958395283,0.08250174898452586,32.64356244576921,69.67827971328555,-0.11652309783786863,-0.03188013026587683,0.0013237617125782055,0.1529415923149249,0.049967057335203964,0.001324638271856582,1,0.05423832298768705,294.81
2017-10-08,0.0001929012351661457,0.02594271385861701,-3.214607174994999e-05,0.36713667575163167,55.60751727604281,0.01020819384834509,4.95798756901861e-05,0.8151351795580372,0.19649482590924844,0.06192243224513616,0.03934208177250742,0.07100255473188444,28.916555697005002,83.30337078651684,-0.146828713916619,0.06162167897251116,0.028135056548227226,0.054501301388988004,0.04099955818808572,0.028534585372305132,0,-0.04462018195261519,311.07
2017-10-09,-0.04564630233628275,0.08573639759076691,-0.04480442258862849,0.649946254422231,49.97015956672597,0.009026146821133596,0.0018467457326938848,0.5630731709377117,0.19438176180103578,0.012260274089250345,-0.006759589964201118,0.0751342193560192,28.6723642348324,52.1123595505618,0.2839517580115589,0.017652109795501802,0.016864721658075302,0.04539742674080765,0.04150587836065593,0.017007733899117028,1,0.004879033614859196,297.19
2017-10-10,0.004867169704314665,0.052102866327350665,0.004338321842945803,0.38152540287343095,50.53432856261459,0.007973951336040716,0.003065013584377433,0.5750416312871508,0.19088940701291526,0.014324652497686108,-0.0018386339366808224,0.07315037753420256,28.44561501995784,55.370786516853904,-0.30553061237368273,0.012907753563883259,-0.018972376701993737,0.05733176366821473,0.04145032860078127,-0.018793533972926935,1,0.017981516206804216,298.64
2017-10-12,-6.578947370788546e-05,0.023981052008289813,-6.578730962791823e-05,1.1015879807112885,52.65420681477776,0.00870271048477117,0.005008010651304436,0.654399838918637,0.11310322636795338,0.017463119932390025,0.014788574180677916,0.06530845970046693,27.70613581562733,67.39325842696631,0.6738551565784932,-0.022830259874794506,0.02494758769055581,0.14104570298201982,0.034634927256005095,0.02526138279932555,1,0.11174709694397822,303.99
2017-10-13,0.105932739156308,0.16854065569889923,0.11346863468634694,1.2899750505252081,64.01487446375992,0.015986290221429972,0.006800962998458171,1.2926910421737572,0.1531458375167102,0.12139733354569393,0.12254522744451979,0.06658660843981626,26.66660993189183,77.39474427804464,-0.9218906965563027,0.08290957804634758,0.1445312570188588,0.16718051966699982,0.03786628172206637,0.1554978118161925,1,0.011954077405610164,337.96
2017-10-14,0.011883191777961127,0.043274853801169626,0.011954077405610164,-0.568657914449205,65.08780142571464,0.022876104263664727,0.00995172016257838,1.1862330370629772,0.18013946854710475,0.12361765459599039,0.12993946165005554,0.06419108864832163,25.70133589699458,83.10257134783839,-5.090946125119463,0.14043907216059134,0.15809118195609317,0.19290366612449164,0.037507747639329084,0.1712729888009863,0,-0.011812865497076053,342.0
2017-10-15,-0.011883191777961124,0.09418274351994314,-0.011812865497076053,0.29479989645426063,63.062891541722976,0.027544406513610904,0.013565428339298833,1.0126591443583766,0.1998585186189933,0.10245929714794588,0.11150957122396998,0.06704588457857184,23.91684541675921,77.39474427804464,-1.611303672562153,0.12368871067831569,0.13659646424219885,0.13792022595477701,0.03693725985461515,0.14636545571724158,0,-0.008196236240975208,337.96
2017-10-16,-0.008230010057287757,0.06330737790506885,-0.006844444444444431,-0.13463483977023394,61.64677324178109,0.03026801346384207,0.016995628795097084,0.9132704391839113,0.205807131061751,0.08505400344107072,0.09799021880302838,0.0672933374628172,22.44759669688946,73.43970629765603,2.280971182360742,0.09763693962531246,0.07554791673386388,0.15208433760922607,0.03647906080937815,0.07847490347490349,0,-0.059667651182911174,335.19
2017-10-17,-0.06152190363523369,0.0759224594688918,-0.05963959663464413,-0.059644386388473136,52.48291228356034,0.028839597789055243,0.020227172239250413,0.594059521907378,0.20638141897261736,0.01941213759913074,0.031162476510287584,0.07187471937427811,21.544735782134065,43.31824156564921,0.6537466916352852,0.036180825463786676,0.01335056558899215,0.01744239570409421,0.036174569966069,0.01344008231246585,0,-0.017418065293949736,315.19
2017-10-18,-0.017571544612965492,0.10758798837584757,-0.017418065293949736,0.5844423363683244,50.273706949582056,0.024931842086095286,0.021454957162687156,0.502346100898031,0.2051669353674967,0.00048134233131191806,0.012677347334283828,0.07560877032947168,21.73709811344085,36.09347951529138,0.6263498156803045,-0.08732345830548693,-0.0044138802591393465,0.02372117628908799,0.035975422201227916,-0.004404153405985767,0,-0.003358088472715459,309.7
2017-10-19,-0.003363739506471613,0.04859716192574353,-0.009180790960451879,-0.32764821310591297,49.845660215372455,0.020988144893995732,0.021419427030465607,0.4721491262863778,0.1981684921566482,-0.005519165649073732,0.008909654294536606,0.07391592927573704,21.915720278225727,34.59319099826893,0.2589402438105093,-0.1025703895899196,0.03786868257067185,0.05473340422874706,0.03501754754667477,0.03859483831892074,0,-0.013445214799455818,308.66
2017-10-20,-0.013536420139482645,0.03014679320876164,-0.013445214799455818,0.006979146560918581,48.08623624215559,0.01674595652374012,0.02071826384022736,0.4045362646931748,0.1981263507986892,-0.018913881509953212,-0.004473606583281664,0.07172496786247624,22.081583716954537,28.606462781304078,0.20711660224107464,-0.10422361795144112,0.019465092726874536,0.0004927160248807145,0.034008138698888295,0.019655772836860486,0,-0.018291681718170194,304.51
2017-10-21,-0.018461042975534445,0.05131464507928004,-0.018291681718170194,-0.016899080235284747,45.75199892555563,0.01176337168793878,0.019236111875522148,0.3197084038292119,0.20012936791414138,-0.03608164318189144,-0.021813315098576203,0.071508044980224,22.662915075764026,20.571263704558557,0.16868007761944326,-0.11445465086968773,-0.01681771124437529,-0.016620329837062988,0.03425885197885999,-0.01667708299069104,0,-0.0172275372984545,298.94
2017-10-22,-0.017377657956855617,0.05783042309132376,-0.017391886016254632,-0.16510977314167086,43.64254053557848,0.006213895877920375,0.016901428643758185,0.24108020806547817,0.20189073877978544,-0.052273508078368947,-0.037205199115563414,0.0716950383809247,23.095221603302726,13.14195037507215,0.1205029083383038,-0.07031040519130971,-0.03412957972752302,-0.009181992036967294,0.03402433765877015,-0.03355373532024075,0,-0.04322815616596909,293.79
2017-10-23,-0.044190323649752866,0.07968977907431796,-0.043195588535638874,0.3465343961221352,38.88166410711053,-0.0018967481908183429,0.013752695532421463,0.06962658388642845,0.21277587246272286,-0.09157307909832768,-0.07596869774168802,0.07527398678540029,24.099396548008468,10.867970660146682,0.14481114658676875,-0.09692918422809704,-0.1842526425335839,-0.03972138551472516,0.03530857831095738,-0.16827435199431884,1,0.05795296880002865,281.09
2017-10-24,0.05633587951801723,0.11601318178761182,0.05353030786126767,0.456361295764099,46.88540156700829,-0.003616946513264645,0.009676086619623887,0.3101274186850035,0.2094213890302946,-0.03976337971775412,-0.021558142757681198,0.07435506862110194,24.05866436401077,30.782396088019567,-0.1842202093445523,-0.037229565203608275,-0.13979995479352797,0.018291227162565173,0.03764117231049923,-0.13046783625730995,0,-0.00971820566278836,297.38
2017-10-26,0.0007467753232314043,0.02962234060601954,0.0020741244474666853,-0.19479000314313188,45.84933309617087,-0.00741659454191257,0.003832285130403132,0.286030751370059,0.21431531362816827,-0.04585688662690934,-0.028048751892479573,0.07108508332656692,23.985720503892445,27.518337408312945,-0.10852274816190732,-0.01425106237669415,-0.1287057132463819,-0.05315779651251806,0.03554795724714088,-0.12076732599421225,1,0.005496929184622079,294.71
2017-10-27,0.005481876207628767,0.02048391995410539,0.005462812160694774,-0.19721922328858366,46.69353967067937,-0.008090222893264987,0.001431023017016984,0.3238603609894868,0.2175928985460662,-0.03832673460115532,-0.021835015740513053,0.06710985913225194,23.953108037331607,29.49877750611246,-0.09772540564624055,0.008608471787790369,-0.06170193340351936,-0.04835136781452723,0.03558790272719871,-0.05983692376027161,0,-0.015050787972867963,296.33
2017-10-28,-0.01516520053315711,0.023640661938534202,-0.01441885594651171,-0.06748599182453596,44.63061976885422,-0.009907310114335037,-0.0008191498958717207,0.27634103428693274,0.2228414329272953,-0.04984048440653677,-0.03517398095887303,0.06495715784340944,24.012784120556596,24.04645476772618,0.1010006380430335,0.03763359490438601,-0.059295589323711026,-0.06370946958285041,0.03569414783153152,-0.05757184371972868,1,0.04498578134100795,291.87
2017-10-29,0.0440032789519656,0.057508196721311355,0.04502158569176995,0.5420311081880524,51.4332815511157,-0.007208312137413672,-0.0020687713589137616,0.4621299069563481,0.22068690164961965,-0.008357433498986322,0.007904196121846674,0.06182847624750043,23.15638401770173,40.09779951100245,-0.1414587062238486,0.025300994338334534,-0.011928570865273845,0.025940111705397836,0.035710366765848156,-0.011857707509881465,1,0.007377049180327777,305.0
2017-10-30,0.007349971838732488,0.04524003254678593,0.007377049180327777,-0.008095333419043671,52.510028381853125,-0.004722400299914735,-0.0025873774125458695,0.4888548814428883,0.21877773298203668,-0.002438303771740924,0.014729143437823167,0.06022315664799238,21.917955782512035,54.44237340789067,-0.1634325009747568,0.04241670178840145,0.008957821112941267,0.028422913839815905,0.035727742213478846,0.008998062461002876,0,-0.007648494711147369,307.25
2017-10-31,-0.0076778944519352,0.01961298786487379,-0.0034319333224382964,-0.14595248018720453,51.232442996654505,-0.0033984182342816087,-0.0027655392323065508,0.4532934721837384,0.21862369885252686,-0.010211153871749534,0.006692909456995411,0.057753442215537555,20.76798670697875,71.39737991266372,0.16684741192662766,0.033992032013234794,0.01974096963654047,0.0029232583921653017,0.03556629128349492,0.01993711112597829,0,-0.05867497540177102,304.9
2017-11-01,-0.06046679563602341,0.06815093550747361,-0.05864410115123486,0.28830314803633184,42.71261209229626,-0.007409226251390469,-0.003832182623694399,0.210579806934904,0.22704708678727806,-0.06571201169284158,-0.05042442697334115,0.06183889035965053,20.687343864987373,33.81278538812785,0.18421435727562407,-0.03195663983041753,-0.023348168042627297,-0.057477747770150314,0.0380620906728414,-0.023077708567344146,0,-0.013553534720044502,287.01
2017-11-02,-0.013646222320977596,0.06453094094376936,-0.014549251653324102,0.36377425532958063,41.111672309086494,-0.01153878181509693,-0.0054156250683783285,0.1802227149069229,0.2191353594496567,-0.07007451031270684,-0.06096371432752434,0.0628201416329277,21.15241246034562,24.9315068493151,0.21214638749402415,-0.030437661618238094,0.007195933286147934,-0.177056709247436,0.028179814537322035,0.007221886228610197,1,0.07403221248940373,283.12
