Open Time,Open,High,Low,Close,Volume,RSI,MACD,MACD_Signal,BB_High,BB_Low,BB_Mid,SMA_20,EMA_50,Log_Return,Return_Lag_5,Return_Lag_10,Return_Lag_20,Daily_Return,Volatility_20,Momentum_10,Volume_Change,ATR,ADX,Stoch_K,OBV_Change,Price_To_SMA20,Price_To_EMA50,Target_Close,Direction
2020-11-09,0.0036537763166422065,0.0027519925879937995,0.0036378461566582516,0.0031901431135244575,0.07076316296056942,0.49014661512902724,0.37691004649117815,0.3781656194298029,0.0013083932161859647,0.0028284154030888066,0.0007559579934913446,0.0007559579934913446,0.0016793052988011807,0.5692834088809273,0.8729044711981266,0.7277261317580579,0.4887445082628849,0.4635228612678544,0.2901931638991988,0.5386178102084312,0.04387007235335635,0.003590451494306847,0.46998455415315754,0.6169621298562971,0.08418544469527353,0.532116796763225,0.26489723465672355,0.004095915205620235,1
2020-11-10,0.0032196794662602817,0.0031819595898943476,0.0038857998433600265,0.004095915205620235,0.04365523000484409,0.581525687299316,0.3777527410708387,0.37878336790137257,0.0015616959777189372,0.00267898042953468,0.0008351613878289903,0.0008351613878289903,0.0017099274199116367,0.7675517575022222,0.9449184461530138,0.7476409275345998,0.5378799104155609,0.686019078937414,0.3227634952796829,0.5653360107564629,0.05089398908989569,0.0037932986483610025,0.4607543263326557,0.8104470420204173,0.16091134587821807,0.623666280847013,0.32095757100083533,0.0030754835641863387,0
2020-11-11,0.004094775767118544,0.003094675609255769,0.003724073640655504,0.0030754835641863387,0.036209090429685016,0.4524811552109861,0.37801191267172635,0.3793359514805247,0.001582732120348443,0.0026712849645092475,0.0008439337828563178,0.0008439337828563178,0.0016916155517710165,0.49389124968185266,0.6452018050193704,0.6564268103394058,0.4646854628629074,0.3883743919376391,0.32495616679274625,0.4503423530978041,0.07274223233738529,0.004029835700018497,0.44853418688625624,0.5924693319151149,0.09924909324828649,0.508701032566093,0.25694895138208595,0.0027261362416210327,0
2020-11-12,0.00307280747536251,0.0022795722881172875,0.0031586279737057825,0.0027261362416210327,0.02626947886945776,0.4138986613741218,0.3780801769914407,0.3797933965672685,0.0015604734298173863,0.002676780968716076,0.0008334195007781101,0.0008334195007781101,0.0016576802425851845,0.5850696494257418,0.5694656574856198,0.6792677179895199,0.4433118362237669,0.479883539062563,0.32290544050340075,0.4774154304524194,0.06534184324298284,0.003935671491353139,0.4249620695109053,0.5178441181210787,0.10171582066580227,0.4709249354642833,0.23633045357028676,0.0031295537864494648,1
2020-11-13,0.002723459215028647,0.0023502145759492898,0.00345545714672858,0.0031295537864494648,0.028405840251006904,0.4572067958925181,0.3783000827105861,0.38020889182924567,0.0016085206938732787,0.0026612002568936134,0.0008543851051616034,0.0008543851051616034,0.001643946546857138,0.7018364042646985,0.5620202193281146,0.7337246180251242,0.4782068528296825,0.608038729754846,0.32770327910249913,0.5465664109067926,0.09273382945241507,0.00367511016266389,0.40427750349954295,0.604019447332194,0.15453756689336035,0.5134947728061376,0.2628548403757037,0.002761799579709477,0
2020-11-14,0.0031579395431935954,0.002202816725376747,0.0033334671117647265,0.002761799579709477,0.01664758025334579,0.4150941166901705,0.3783269147889421,0.3805473326269455,0.0016499264822796116,0.0026655850264112875,0.0008807442634255367,0.0008807442634255367,0.0016135488480392424,0.5825481304430962,0.569963121711198,0.7145136407342186,0.48586375016886907,0.47725536020028425,0.3300032015669764,0.5214054730347044,0.05706537242143868,0.0033923688210221545,0.38234863077280556,0.5254622793536201,0.10712346188664969,0.4695891003926069,0.24079460604252406,0.003231558602917491,1
2020-11-15,0.0027675591600762805,0.002816181974533455,0.00350949833485589,0.003231558602917491,0.07943235919881045,0.4663633896689017,0.3785381620773053,0.3808656739323822,0.0017646132045599627,0.002683550346768144,0.0009564638836614204,0.0009564638836614204,0.001606317313606321,0.7114562300050115,0.53637317434972,0.7455679325599992,0.5435096270452084,0.6191808945095638,0.33569996594413815,0.5625106006904852,0.3012237422654582,0.0035676096214227807,0.3726351764111898,0.6258090267715067,0.18406905703512721,0.5128087056490278,0.2713750632759898,0.0040824935192428635,1
2020-11-16,0.0032223638107414417,0.0033324140779211605,0.0037975855509757416,0.0040824935192428635,0.07488563532441883,0.548059138205294,0.37904440514323867,0.38123439072618054,0.0020056389313419277,0.002628139028800582,0.0010722259194765908,0.0010722259194765908,0.001639173877281283,0.7595720080589885,0.6954625543237174,0.6319130067171658,0.5820851975735133,0.6763136172624734,0.35662825724139513,0.422481509652821,0.08150597444382873,0.003985681815984412,0.37131071358717027,0.807579992094192,0.1715618908411097,0.5915510434019868,0.32419664043579566,0.0038416701179574495,0
2020-11-17,0.004094775767118544,0.003196563524398081,0.004350713005925854,0.0038416701179574495,0.04923676618414748,0.5176920655879047,0.37933801477897594,0.38159550698072064,0.002170722764428765,0.002727237259843257,0.0012153124967405199,0.0012153124967405199,0.0016594768597764063,0.6065815838988231,0.7083438797846519,0.5811137514188597,0.6236867988052279,0.5025383014154464,0.35693349963152327,0.3684637682683441,0.05435533313924781,0.0037983134961070766,0.37008085525058065,0.7561369248464921,0.09818004433568132,0.5484395259808283,0.30760912338595625,0.003517632261132329,0
2020-11-18,0.003825190885653444,0.0028138045898468004,0.0038544082708448987,0.003517632261132329,0.04176137862706212,0.4773363056972455,0.3794283017194674,0.38190473934683056,0.002241774938691833,0.002945330605852135,0.0013585669667322449,0.0013585669667322449,0.0016638260039316954,0.5937460105130192,0.6436194570295422,0.5227860834939395,0.6321688551648009,0.48897051066417413,0.3400383240916962,0.31215770762956974,0.07387568399464964,0.0036635141980786486,0.3567491102656357,0.6799375339042953,0.09837082006526947,0.4982274102036473,0.286642836206779,0.003401438804779654,0
