Open Time,Open,High,Low,Close,Volume,Quote Volume,Trades,Taker Buy Base,Taker Buy Quote,RSI,MACD,MACD_Signal,BB_High,BB_Low,BB_Mid,SMA_20,EMA_50,Log_Return,Return_Lag_5,Return_Lag_10,Return_Lag_20,Daily_Return,Volatility_20,Momentum_10,Volume_Change,ATR,ADX,Stoch_K,OBV_Change,Price_To_SMA20,Price_To_EMA50,Target_Close,Direction
2020-11-23,0.029133646435087618,0.0262777009423949,0.02809267332172155,0.02862591386053487,0.10072692963963067,1529064319.66944352,1629379,39611.36061700,730350629.71705125,0.8418417370054057,0.5290481120359406,0.5208157811345036,0.024620886929230257,0.0,0.0,0.0,0.0,0.47611774143866203,0.6505125629014586,0.6794526972622451,0.7468099339423535,0.43326009221066697,0.41717077652548434,0.5824930056088206,0.13347244827252755,0.10375161052481273,0.9104602338919067,0.8468002642637258,0.23627200855232766,0.5991253336625274,0.6143857532561116,0.03739071936122193,1
2020-11-24,0.028626024525873678,0.033278333494151574,0.028293017267756015,0.03739071936122193,0.1413554708997855,2145301450.45794128,2179862,58179.20088200,1098976481.12570495,0.8916557705127499,0.5320912051101803,0.5236257063042465,0.027326699746332422,0.002984681957075075,0.0029128480903554133,0.0029128480903554133,0.0020839114722662477,0.6056309636373353,0.7231916112979911,0.7466289194234833,0.7786119406365868,0.563975041426605,0.4100477609557015,0.6607363130239018,0.19089884280372352,0.11211224327109663,0.9021561659424052,0.938218614663338,0.23762501592723734,0.6430007363031615,0.6527997186585938,0.03251148457220043,0
2020-11-25,0.03739060869588312,0.03397778564000298,0.03366078809298051,0.03251148457220043,0.1144003441039983,1774870796.28823277,1785408,44575.07675800,848724583.33005267,0.788746588752673,0.5302842383415605,0.5254704221685502,0.02975985754473945,0.00403891415698393,0.0047299461427976475,0.0047299461427976475,0.003880802094230168,0.4160337371294128,0.5981035460205656,0.727762571416651,0.6646522636075959,0.37457613444605226,0.41689787887773394,0.638304237060446,0.10175141330006772,0.11391764036922918,0.8951579442054168,0.8110316941021459,0.23621844527564373,0.5905426644305644,0.6105522385917789,0.015141010328064058,0
2020-11-26,0.032508385942713214,0.027875483794881667,0.007924716087585465,0.015141010328064058,0.23081751588201646,3127314143.10457491,2770483,84478.80913100,1459155975.95315027,0.5209151001708541,0.5172517593062482,0.52403799978082,0.029845513262670015,0.005797652931596481,0.005641401629284337,0.005641401629284337,0.00487634581325988,0.2299055053333478,0.4371696454521451,0.5717823308380128,0.5825227744804063,0.2003269522655188,0.40332971107443677,0.4661261993723832,0.2839018874232218,0.14049735651216333,0.8226293353323414,0.3866989150459302,0.23556092403461915,0.45093420297280173,0.49996260028623285,0.015030898315928048,0
2020-11-27,0.015141010328064058,0.012250276071317512,0.010708161311157649,0.015030898315928048,0.10382584237208214,1446670351.43508800,1572299,42507.35843300,720985570.34073767,0.519554814352571,0.5058620214129098,0.5203504441473514,0.0289742881921653,0.009480212907072405,0.006989360410044887,0.006989360410044887,0.005828215525750885,0.4817458682319205,0.46396705317799125,0.5069834780162178,0.6293269185191845,0.4388197225548065,0.3686815104926861,0.40110548947512215,0.044824434912637254,0.14078385759842088,0.7552813413787712,0.38408142504410253,0.23612165098751833,0.44031024965936616,0.49332458037582116,0.021453139924258402,1
2020-11-28,0.015031008981266858,0.01678395677205624,0.01546610742509169,0.021453139924258402,0.07677598757725981,1128061605.10722507,1209385,31785.70689800,552044705.36061018,0.5812388344538526,0.4997831550548223,0.5160439018337019,0.0290110017769023,0.012088519358793792,0.008292912194499708,0.008292912194499708,0.007012979447990175,0.5798188334643386,0.5279147771313646,0.5380973685005414,0.6198122065712318,0.5374546998926112,0.348582213895984,0.4318747047708333,0.09196597420229435,0.14098403191480352,0.7006972658784617,0.5236427287040469,0.2374014784097014,0.47923894099662656,0.5238505863048354,0.026600627494604234,1
2020-11-29,0.021453029258919593,0.021925423220010065,0.022716777436463415,0.026600627494604234,0.06406240853793535,996743798.86492166,1141289,27883.98529600,502287686.11938401,0.6254922101969851,0.4971746043080533,0.5120165704075648,0.029062403764917116,0.015402672748182411,0.009951760599194198,0.009951760599194198,0.008367867883935426,0.5584333801157666,0.49881018446655223,0.5665325718417676,0.6532908843796487,0.5156609050410509,0.32344827724867015,0.460722780157155,0.10683470133255765,0.13871428324113244,0.6583797489161093,0.6407920415304693,0.23728359545483338,0.5055022429360926,0.5454118656156196,0.04332083220777458,1
2020-11-30,0.026600738159943044,0.03804059052458911,0.030151652575994642,0.04332083220777458,0.14385257037888852,2205929119.50533619,1744149,61033.41490300,1166943549.18424454,0.7375284119665484,0.5042133451098558,0.5103653988628554,0.03144420514988419,0.018010258515078564,0.012506112349816773,0.012506112349816773,0.010373143283457509,0.7144674948610188,0.6828406434038923,0.6049963672235699,0.7306212166720979,0.6784352297099111,0.31879549631107873,0.5008826423043719,0.30767508477643013,0.14853789872986867,0.639841509755204,0.9552126316348699,0.23773587339388857,0.609839530479204,0.6294541456921773,0.03301888515073667,0
2020-12-01,0.04332083220777458,0.03830690553536392,0.028105139167252574,0.03301888515073667,0.16008712843478282,2446070334.82879867,2023802,63805.39289800,1223282816.31921670,0.6127302424834894,0.5026220144440543,0.5086893565086309,0.03170465500000891,0.02136225597696012,0.014295121394657218,0.014295121394657218,0.011866315393473464,0.3432661085042751,0.7527449464074465,0.545593557174408,0.6612708458286803,0.30511580643261693,0.2954532894440472,0.4394115178703754,0.14809072613678673,0.16064163713234098,0.6183118414882647,0.6963346940727025,0.23590870885905116,0.5207553975899316,0.5601492900821649,0.03787853217478526,1
2020-12-02,0.03301888515073667,0.032453121482100916,0.03176564566568671,0.03787853217478526,0.0913718936937361,1436895344.82594950,1566635,36421.69039800,689901298.57006888,0.6445739385359764,0.5033254018478627,0.5075054833831367,0.03302446940948092,0.02336732673899425,0.01598628638552163,0.01598628638552163,0.01350540639085493,0.5503885031623811,0.795073722163042,0.5907029463908716,0.6472151082236591,0.507504001866059,0.28900123254097687,0.48580390944437857,0.06487050704608727,0.15938153813653105,0.598320006668964,0.8154199336857207,0.23742948232789315,0.5436069561114566,0.5774151970313971,0.040288933919844866,1
2020-12-03,0.03787842150944645,0.03519775283308138,0.03774479943289308,0.040288933919844866,0.07913606680022703,1286548310.82670579,1242229,33868.34169800,653783366.90459527,0.6600760483109083,0.5043586006017775,0.5067889429771608,0.034338279123655835,0.025601830548899862,0.017787188398641685,0.017787188398641685,0.015181639447241435,0.5160735851944442,0.7557649409334953,0.606781479896336,0.6561993903200014,0.4729646847308664,0.2809547575975183,0.5027788626981673,0.11108654340580688,0.15419398227959014,0.583212657332355,0.8744866247341839,0.2373192248679176,0.5476993216420599,0.5803173889044103,0.03175243101316441,0
2020-12-04,0.04029380319475337,0.03443654648183289,0.0343846975513184,0.03175243101316441,0.08523204166160184,1358079975.02549805,1286657,32363.45371500,616745259.31451114,0.5629136071032165,0.49911282343827434,0.5050451165319519,0.03354366518702945,0.02950671916969788,0.019285464310221323,0.019285464310221323,0.016432955717331443,0.36610729331801456,0.6371662331732152,0.5103953446886766,0.6325087931234344,0.3267311334802784,0.24798044217837537,0.4044395806514981,0.14205865144578583,0.15267565832913316,0.5611531905343959,0.6653003424654025,0.2363180677790951,0.4759452083458927,0.5244932875479064,0.03725404766776669,1
2020-12-05,0.03175232034782555,0.0306841208066643,0.03365778293378999,0.03725404766776669,0.04760099415085828,813445434.13081420,932124,21360.26028100,405002656.06997130,0.6026893567429741,0.4973757182368807,0.5032624206989892,0.032383948534539464,0.03452761752941938,0.021138316759976822,0.021138316759976822,0.0178666869512821,0.5595780990445629,0.5416530217547376,0.5681586808024137,0.6640560584622898,0.5168234077265516,0.20539042316123896,0.4623938827900736,0.06612101041015758,0.14719846102941175,0.5389102536702207,0.8001169936193108,0.23714292671487028,0.5020184796721693,0.5464808378530427,0.03959727555215639,1
2020-12-06,0.03725404766776669,0.03328937634685278,0.03763127119680687,0.03959727555215639,0.03979949673871183,709558933.58290580,820382,19009.40766300,364303500.95709817,0.6191761640140798,0.4965246095326876,0.5016463392962225,0.03238370335450749,0.03764912863964204,0.02267478024939168,0.02267478024939168,0.01934278715888385,0.5152617554716309,0.6477148764430852,0.6829881925225365,0.6306809046169866,0.4721524936113465,0.18385687115917998,0.5864994454188689,0.10856430674384385,0.14048379051408233,0.5222162970038241,0.8575375948892322,0.23708848167924074,0.5077388707296405,0.5504358452616992,0.037466967779675925,0
2020-12-07,0.039589196982421776,0.033299132653608204,0.03814192565481028,0.037466967779675925,0.04554375679116861,793517668.68394607,840954,18881.80601400,362249650.05341632,0.5937756340128424,0.49371062059489546,0.4997255331077267,0.03295667907719488,0.03880652388707345,0.02355021421134798,0.02355021421134798,0.02067136618903287,0.4544973548636291,0.5885831878446444,0.672023184804416,0.5692328921133025,0.4120030685775615,0.1795771347450689,0.5741133674915728,0.14986451618946278,0.13360625940294873,0.5067300421577746,0.805334582966781,0.23653114941142173,0.48676078823682,0.5306892713426757,0.028140203688409332,0
2020-12-08,0.037466967779675925,0.03194750892541248,0.03031871716654891,0.028140203688409332,0.07241889893037012,1160658077.40465900,1143181,27811.37851000,524064471.55038376,0.4913707903774871,0.4851009239551656,0.4962676360810209,0.03281472161252816,0.03960683583787228,0.02386843821952858,0.02386843821952858,0.021555410870407576,0.35325468043758756,0.4881802106686276,0.5808520573006816,0.5205236813496664,0.3145473237064629,0.1732385479433826,0.475518965451676,0.21050081597848813,0.13546078197480377,0.47232176665134495,0.5767830171583517,0.2363738375402216,0.41953922933979493,0.4745075069613284,0.030543522851783772,1
2020-12-09,0.028140203688409332,0.024922217576361844,0.024197096593273626,0.030543522851783772,0.09624750433307921,1450130664.06458426,1302476,36809.00928700,671042442.47453077,0.5124246645986883,0.47904101122466114,0.4921490501509699,0.03270953828043768,0.04059198576947162,0.02429727031697751,0.02429727031697751,0.022505909263315638,0.5175322795644955,0.5815570790408109,0.5643931453166545,0.5302370103144333,0.47442460089454225,0.16590208672888135,0.4585277072486931,0.17826099206717477,0.1356788613081676,0.42705931311177114,0.6356761501412017,0.23743068032321396,0.43346161828249297,0.48222165768513914,0.02737130091421741,0
2020-12-10,0.030543633517122637,0.02404039754269724,0.02710341943708025,0.02737130091421741,0.06082706444154969,966149529.00060708,891151,25604.60806900,467840780.52674688,0.4785856968417911,0.4717241943591518,0.4872214351929639,0.03259379343626992,0.04024433168448133,0.024064381840471105,0.024064381840471105,0.023285658702456496,0.4383223484167709,0.506784199436176,0.45327025133865906,0.47130710406060583,0.3962034033711427,0.16751992616341752,0.3498835160374458,0.0762790394991773,0.13097568577097035,0.3850298919678812,0.5258326698763792,0.23644309130801527,0.4129000155514341,0.46065132250420804,0.024957689874331723,0
